Res1_Lat,Res1_Long,Res2_Lat,Res2_Long,Res3_Lat,Res3_Long,Res4_Lat,Res4_Long,Res5_Lat,Res5_Long,Res6_Lat,Res6_Long,Res7_Lat,Res7_Long,Res8_Lat,Res8_Long,Res9_Lat,Res9_Long,Res10_Lat,Res10_Long,Res11_Lat,Res11_Long,Res12_Lat,Res12_Long,Res13_Lat,Res13_Long,Res14_Lat,Res14_Long,Res15_Lat,Res15_Long,Res16_Lat,Res16_Long,Res17_Lat,Res17_Long
39.00442,-76.96256,39.01208,-76.95602,39.00746,-76.93159,39.01712,-76.93372,39.02158,-76.92497,39.02146,-76.91899,39.01775,-76.92625,39.00497,-76.91629,38.99768,-76.91755,38.9982,-76.93093,38.98488,-76.93711,38.98175,-76.95466,38.98521,-76.95921,38.99459,-76.9496,39.01095,-76.93177,38.99795,-76.93248,38.99319,-76.93452
38.99887,-76.96278,39.00331,-76.95609,39.00191,-76.93306,39.01557,-76.93444,39.02038,-76.9255,39.02066,-76.91257,39.01832,-76.91809,38.99941,-76.91943,38.99164,-76.9205,38.99668,-76.93113,38.98321,-76.93757,38.9803,-76.95455,38.9842,-76.95891,38.99258,-76.95105,39.01031,-76.93151,38.99695,-76.93254,38.99095,-76.93533
38.99851,-76.96759,39.00143,-76.9505,39.00182,-76.93221,39.01381,-76.93082,39.10976,-76.92278,39.0179,-76.91294,39.01489,-76.90944,38.99932,-76.91704,38.97861,-76.91638,38.99645,-76.93004,38.98308,-76.93652,38.97644,-76.95244,38.98389,-76.95742,38.99191,-76.9494,39.01014,-76.93028,38.99687,-76.93185,38.99067,-76.93417
39.0051,-76.96741,38.99722,-76.95021,39.00452,-76.93153,39.01551,-76.92975,39.02114,-76.92219,39.01883,-76.91989,39.01074,-76.91356,38.99995,-76.91571,38.97551,-76.91399,38.99566,-76.93013,38.98285,-76.93662,38.97188,-76.94931,38.98421,-76.95552,38.9923,-76.94827,39.01162,-76.92997,-38.99789,-76.93169,38.99282,-76.93322
,,38.99917,-76.94178,39.00465,-76.93047,39.01605,-76.93049,,,,,39.00536,-76.91739,39.00064,-76.91442,38.98007,-76.91269,38.9961,-76.93135,38.98277,-76.93771,38.9679,-76.94874,38.98536,-76.95576,38.99177,-76.94746,39.01162,-76.93063,,,,
,,38.99762,-76.93568,39.0054,-76.93025,,,,,,,39.00609,-76.9199,39.00247,-76.91348,38.98324,-76.91,38.99466,-76.93151,38.98223,-76.93775,38.96655,-76.9482,,,38.99175,-76.94597,,,,,,
,,39.00207,-76.93629,39.00559,-76.93121,,,,,,,38.99935,-76.92178,39.00358,-76.91376,38.99076,-76.90588,38.99458,-76.93089,38.98199,-76.9368,38.96618,-76.94366,,,38.99211,-76.94555,,,,,,
,,39.00672,-76.94181,39.00729,-76.93098,,,,,,,39.00021,-76.9266,39.00412,-76.91505,38.98859,-76.90027,38.99246,-76.93128,38.98134,-76.93702,38.96489,-76.93922,,,38.99204,-76.94416,,,,,,
,,39.01153,-76.94715,,,,,,,,,39.00166,-76.92937,39.00455,-76.91488,38.99269,-76.89745,38.99249,-76.93215,38.9812,-76.9365,38.97301,-76.93803,,,38.99164,-76.94406,,,,,,
,,,,,,,,,,,,39.01604,-76.9261,,,38.9939,-76.90264,38.99234,-76.93244,38.98059,-76.93673,38.9764,-76.93805,,,38.99156,-76.94176,,,,,,
,,,,,,,,,,,,,,,,38.9952,-76.90184,38.99202,-76.93209,38.98045,-76.93601,38.97661,-76.93943,,,38.99289,-76.94175,,,,,,
,,,,,,,,,,,,,,,,38.99559,-76.90507,38.99159,-76.93251,38.9799,-76.93613,38.9779,-76.93902,,,38.99299,-76.9443,,,,,,
,,,,,,,,,,,,,,,,38.99589,-76.90641,38.99128,-76.93207,38.98006,-76.93693,38.97917,-76.94021,,,38.99292,-76.94503,,,,,,
,,,,,,,,,,,,,,,,38.99615,-76.90745,38.9909,-76.93247,38.97949,-76.93711,38.97946,-76.94116,,,38.99305,-76.94599,,,,,,
,,,,,,,,,,,,,,,,38.99623,-76.90998,38.99036,-76.93231,38.97909,-76.93567,38.97988,-76.93953,,,38.99306,-76.94771,,,,,,
,,,,,,,,,,,,,,,,38.99627,-76.91146,38.99008,-76.93251,38.97851,-76.93585,38.98064,-76.93938,,,38.9929,-76.94839,,,,,,
,,,,,,,,,,,,,,,,38.99741,-76.91208,38.99018,-76.93348,38.9786,-76.93509,38.98066,-76.9399,,,38.9933,-76.94927,,,,,,
,,,,,,,,,,,,,,,,38.99761,-76.91535,38.98972,-76.93364,38.97748,-76.93486,38.98118,-76.93977,,,38.99417,-76.94868,,,,,,
,,,,,,,,,,,,,,,,,,38.989,-76.92877,38.9777,-76.93725,38.98115,-76.93951,,,,,,,,,,
,,,,,,,,,,,,,,,,,,38.98805,-76.92914,38.97659,-76.93729,38.9818,-76.93959,,,,,,,,,,
,,,,,,,,,,,,,,,,,,38.98712,-76.92517,38.97663,-76.93777,38.98189,-76.93891,,,,,,,,,,
,,,,,,,,,,,,,,,,,,38.99171,-76.9233,38.97192,-76.93789,38.98234,-76.93893,,,,,,,,,,
,,,,,,,,,,,,,,,,,,38.99118,-76.92511,38.97184,-76.93261,38.98245,-76.93989,,,,,,,,,,
,,,,,,,,,,,,,,,,,,38.99161,-76.92526,38.97465,-76.93041,38.98277,-76.94077,,,,,,,,,,
,,,,,,,,,,,,,,,,,,38.99242,-76.924,38.97752,-76.92907,38.98281,-76.94146,,,,,,,,,,
,,,,,,,,,,,,,,,,,,38.99359,-76.92272,38.97773,-76.92992,38.98346,-76.94155,,,,,,,,,,
,,,,,,,,,,,,,,,,,,38.99452,-76.92238,38.9791,-76.92945,38.98354,-76.94216,,,,,,,,,,
,,,,,,,,,,,,,,,,,,38.995,-76.92316,38.97901,-76.92859,38.98354,-76.9425,,,,,,,,,,
,,,,,,,,,,,,,,,,,,38.99572,-76.92412,38.98131,-76.92782,38.98337,-76.94252,,,,,,,,,,
,,,,,,,,,,,,,,,,,,38.99746,-76.92419,38.9818,-76.92982,38.98337,-76.94318,,,,,,,,,,
,,,,,,,,,,,,,,,,,,38.99749,-76.92594,38.98297,-76.92968,38.98285,-76.94318,,,,,,,,,,
,,,,,,,,,,,,,,,,,,38.99786,-76.92581,38.98378,-76.932,38.279,-76.94426,,,,,,,,,,
,,,,,,,,,,,,,,,,,,38.99804,-76.92943,38.98445,-76.93298,38.98326,-76.94477,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,38.98517,-76.93391,38.98436,-76.94522,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,38.98535,-76.93587,38.98443,-76.94474,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,38.98481,-76.93595,38.98496,-76.94477,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.9852,-76.94531,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.9854,-76.94589,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98555,-76.9465,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98652,-76.94652,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98683,-76.94529,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.9872,-76.94537,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98715,-76.94588,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98666,-76.94669,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98595,-76.94699,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.9852,-76.94661,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98449,-76.94544,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98418,-76.94549,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98413,-76.94632,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98146,-76.9463,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98172,-76.94976,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.9835,-76.94991,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98384,-76.94848,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98472,-76.94895,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98469,-76.95002,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98337,-76.95,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98216,-76.95043,,,,,,,,,,
